Statistiche Fantacalcio Stagione 2019 20,,,,,,,,,,,,,,,,,
Id,R,Rm,Nome,Squadra,Pv,Mv,Fm,Gf,Gs,Rp,Rc,R+,R-,Ass,Amm,Esp,Au
261,D,Dc,Ranocchia,Inter,7,6.21,6,0,0,0,0,0,0,0,3,0,0
365,D,Dc,Zapata C.,Genoa,19,5.66,5.61,1,0,0,0,0,0,0,4,0,1
423,D,Dd;E,Rispoli,Lecce,25,5.66,5.54,0,0,0,0,0,0,0,6,0,0
487,D,Dd;E,De Silvestri,Torino,26,5.77,5.73,0,0,0,0,0,0,0,2,0,0
770,D,Ds;E,Pezzella Giu.,Parma,19,5.71,5.66,0,0,0,0,0,0,0,2,0,0
780,D,Dc,Cionek,SPAL,27,5.63,5.43,0,0,0,0,0,0,0,11,0,0
1896,D,Ds;E,Martella,Brescia,20,5.58,5.5,0,0,0,0,0,0,0,3,0,0
1999,D,E,Lukaku J.,Lazio,11,6.09,6.18,0,0,0,0,0,0,2,2,0,0
2007,D,Dc,Wallace,Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,D,Dd;Dc,Biraschi,Genoa,24,5.65,5.46,0,0,0,0,0,0,0,3,1,1
2174,D,Dd;Ds;E,Venuti,Fiorentina,13,5.81,5.73,0,0,0,0,0,0,1,4,0,0
2261,D,Dc,Vicari,SPAL,34,5.66,5.49,0,0,0,0,0,0,0,4,0,2
2279,D,Dc,Romagna,Sassuolo,18,5.92,5.83,0,0,0,0,0,0,0,3,0,0
2739,D,Ds;E,Reca,SPAL,25,5.66,5.7,0,0,0,0,0,0,2,2,0,0
2740,D,Dc,Varnier,Atalanta,0,0,0,0,0,0,0,0,0,0,0,0,0
2787,D,Dd;E,Dickmann,SPAL,0,0,0,0,0,0,0,0,0,0,0,0,0
2865,D,E,Aina,Torino,29,5.69,5.59,0,0,0,0,0,0,1,8,0,0
2871,D,Dc,Klavan,Cagliari,28,5.73,5.59,0,0,0,0,0,0,0,4,0,1
4332,D,Dc,Demiral,Juventus,6,6.25,6.83,1,0,0,0,0,0,1,1,0,0
4373,D,Dd;Ds;E,Mateju,Brescia,30,5.48,5.28,0,0,0,0,0,0,1,8,1,1
4399,D,Ds;E,Vera,Lecce,5,5.8,6,0,0,0,0,0,0,1,0,0,0
4407,D,Ds;Dc,Igor,Fiorentina,26,5.75,5.62,0,0,0,0,0,0,1,9,0,0
4444,D,Dd;Dc;E,Semprini,Brescia,10,5.7,5.9,1,0,0,0,0,0,0,2,0,0
4472,D,Dc,Meccariello,Lecce,11,5.73,5.95,1,0,0,0,0,0,0,2,0,0
4529,D,Dd;E,Ankersen,Genoa,16,5.84,5.84,0,0,0,0,0,0,1,2,0,0
4888,D,Dd;Dc,Sutalo,Atalanta,4,5.88,5.75,0,0,0,0,0,0,0,1,0,0
4945,D,Ds;E,Calafiori,Roma,1,6.5,6.5,0,0,0,0,0,0,0,0,0,0
11,D,Dd;E,Conti,Milan,21,5.69,5.6,0,0,0,0,0,0,2,8,0,0
54,D,Dd;Dc,Rossettini,Lecce,26,5.67,5.62,0,0,0,0,0,0,1,5,0,0
99,D,Dd;Ds;E,Cacciatore,Cagliari,15,5.67,5.57,0,0,0,0,0,0,0,1,1,0
141,D,Dd;E,Laurini,Parma,13,5.73,5.73,0,0,0,0,0,0,2,4,0,0
169,D,Dd;Dc,Tomovic,SPAL,21,5.52,5.31,0,0,0,0,0,0,1,5,1,1
256,D,Ds;Dc,Juan Jesus,Roma,3,5,4.67,0,0,0,0,0,0,0,2,0,0
259,D,Dc,Murillo,Sampdoria,9,5.5,5.33,0,0,0,0,0,0,0,1,1,0
262,D,Dd;Ds;E,Santon,Roma,11,5.73,5.59,0,0,0,0,0,0,0,4,0,0
390,D,Ds;E,Ghoulam,Napoli,8,5.94,5.94,0,0,0,0,0,0,1,2,0,0
395,D,Ds;E,Strinic,Milan,0,0,0,0,0,0,0,0,0,0,0,0,0
418,D,Dc,Goldaniga,Genoa,11,5.59,5.68,1,0,0,0,0,0,0,4,0,0
490,D,Ds;Dc;E,Regini,Parma,4,5.88,5.88,0,0,0,0,0,0,0,0,0,0
517,D,Ds;Dc,Dell'orco,Lecce,13,5.46,5.46,0,0,0,0,0,0,1,0,1,0
519,D,Dd;E,Gazzola,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0
521,D,Ds;Dc,Peluso,Sassuolo,20,5.4,5.28,0,0,0,0,0,0,1,5,1,0
554,D,Dd;E,Zappacosta,Roma,9,5.72,5.83,0,0,0,0,0,0,1,0,0,0
1847,D,Dc,Caldara,Atalanta,13,5.77,5.81,0,0,0,0,0,0,1,1,0,0
1891,D,Dd;Dc,Ceccherini,Fiorentina,10,5.85,5.7,0,0,0,0,0,0,0,3,0,0
1979,D,Ds;E,Barreca,Genoa,17,5.68,5.74,0,0,0,0,0,0,1,0,0,0
2016,D,Dc,Fazio,Roma,15,5.7,5.77,1,0,0,0,0,0,0,2,1,0
2062,D,Dc,Bastos,Lazio,14,5.82,5.75,1,0,0,0,0,0,0,4,0,1
2104,D,Dd;E,Bereszynski,Sampdoria,28,5.5,5.25,0,0,0,0,0,0,0,10,0,1
2653,D,Ds;E,Lykogiannis,Cagliari,19,5.74,5.68,0,0,0,0,0,0,1,4,0,0
2746,D,Ds;E,Dijks,Bologna,13,5.73,5.54,0,0,0,0,0,0,0,5,0,0
2747,D,Ds;Dc,Paz,Lecce,13,5.54,5.42,0,0,0,0,0,0,1,5,0,0
2754,D,Ds;Dc,Hancko,Fiorentina,0,0,0,0,0,0,0,0,0,0,0,0,0
2769,D,Dc,Magnani,Sassuolo,6,5.67,5.92,1,0,0,0,0,0,0,3,0,0
2795,D,Dd;E,Ter Avest,Udinese,14,5.71,5.68,0,0,0,0,0,0,0,1,0,0
2869,D,Ds;Dc,Djidji,Torino,13,5.31,5.12,0,0,0,0,0,0,0,1,0,1
4331,D,Dc,Ibanez,Roma,9,5.94,5.83,0,0,0,0,0,0,0,2,0,0
4374,D,Dc,Walukiewicz,Cagliari,14,5.64,5.61,0,0,0,0,0,0,0,1,0,0
4401,D,Dc,Gabbia,Milan,9,5.83,5.78,0,0,0,0,0,0,0,1,0,0
4403,D,Dc,Chabot,Sampdoria,8,5.88,6.06,1,0,0,0,0,0,0,1,1,0
4414,D,Ds;Dc,Denswil,Bologna,25,5.38,5.16,0,0,0,0,0,0,0,5,1,1
